Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-01-19,18.11737313686109,18.25976587541925,17.782331868960355,18.142501831054688,14807000,0.0,0
2016-01-20,17.455666682391403,17.765579253434225,17.371905966735614,17.665067672729492,10815300,0.0,0
2016-01-21,17.715321819861146,17.983354807015512,17.46404129380458,17.866090774536133,9105000,0.0,0
2016-01-22,18.2262596279999,18.38540480386237,18.10899560241836,18.36865234375,8369200,0.0,0
2016-01-25,18.184378708504752,18.48591660394427,18.17600407594481,18.251388549804688,8463700,0.0,0
2016-01-26,18.243013212403763,18.310021459380344,18.008483549184415,18.0838680267334,7709700,0.0,0
2016-01-27,18.19275740167992,18.427287085173674,18.100622052623933,18.15925407409668,6432800,0.0,0
2016-01-28,18.243012461279047,18.318396935724206,17.991730347261008,18.11737060546875,7169000,0.0,0
2016-01-29,18.318399916895732,18.762329007982455,18.318399916895732,18.720449447631836,9010200,0.0,0
2016-02-01,18.578055840139843,18.88796840654063,18.552927146538664,18.812583923339844,5389200,0.0,0
2016-02-02,18.678564143642586,18.946598702241157,18.66181328178218,18.89634132385254,13487900,0.0,0
2016-02-03,19.05548896987446,19.348650658162292,18.92147247196048,19.1978816986084,13083200,0.0,0
2016-02-04,19.239761394645964,19.474291066497745,19.19788183784511,19.457538604736328,6473100,0.0,0
2016-02-05,19.273265790554394,19.56642747294301,18.980104108165776,19.05548858642578,9325400,0.0,0
2016-02-08,18.829337129121583,19.189507096944208,18.64506482824613,19.097370147705078,8355200,0.0,0
2016-02-09,18.619932133124994,18.99685448302731,18.485915652626943,18.89634132385254,8426600,0.0,0
2016-02-10,18.98848011910945,19.189504859609276,18.661815115497557,18.678565979003906,5761600,0.0,0
2016-02-11,18.561302646794502,18.72882406899986,18.251390092598076,18.42728614807129,10394600,0.0,0
2016-02-12,18.670196135439866,18.695323235946457,18.36028191583332,18.628314971923828,7326900,0.0,0
2016-02-16,18.946598911541038,19.842834733873257,18.92147022206914,19.549673080444336,13843800,0.0,0
2016-02-17,19.566428644206386,19.88471743999962,19.4910441614338,19.80095672607422,11956100,0.0,0
2016-02-18,20.085741725080414,20.261639379970017,19.901469436836607,19.934972763061523,12780200,0.0,0
2016-02-19,19.934973292123832,20.127623414040066,19.692068978337854,19.918222427368164,8950300,0.0,0
2016-02-22,20.11924427250543,20.211379606943336,19.97685155826229,20.068986892700195,7250300,0.0,0
2016-02-23,19.884715246946502,19.893091477175517,19.482665781569256,19.599929809570312,5802500,0.0,0
2016-02-24,19.331896618392452,19.68369029609918,19.122495657795653,19.616682052612305,5267500,0.0,0
2016-02-25,19.834460149486034,19.851212610523728,19.583178026728483,19.842836380004883,5076800,0.0,0
2016-02-26,19.84283520225327,20.17787641510802,19.616681784475364,19.90984344482422,9920900,0.0,0
2016-02-29,19.742325048656294,19.893094016821276,19.65018810197708,19.72557258605957,6614000,0.0,0
2016-03-01,20.228132700432386,20.672063317000987,20.09411621195933,20.588302612304688,9858800,0.0,0
2016-03-02,20.47941438268825,20.68881534121225,20.420780772315407,20.621807098388672,5841300,0.0,0
2016-03-03,20.63018620945874,20.831212579172934,20.4794188285774,20.57155418395996,7957500,0.0,0
2016-03-04,20.57154813485356,20.89821469138,20.47103657715497,20.64693260192871,7264600,0.0,0
2016-03-07,20.437533952907856,20.705566933651156,20.15274851146745,20.68881607055664,8971500,0.0,0
2016-03-08,20.40402833948844,20.814453994896237,20.37052342185397,20.64693260192871,11734000,0.0,0
2016-03-09,20.705568095003894,20.76420171073245,20.53804827144462,20.722320556640625,5807300,0.0,0
2016-03-10,20.82283372885833,20.94009776511009,20.529672040626252,20.722320556640625,6483700,0.0,0
